Title,Authors,Location,When,Conference,Award,Tag
"Trump, Brexit und die AFD. Verändert Facebook unsere Demokratie?",,"Aachen, Germany", 11/17/2018, VVdst,,lecture
"Requirements for Reproducibility of Geo-Spatial Visualizations (invited panel talk)",,"Berlin, Germany",10/1/2018,"IEEE VIS, Beliv Workshop",,lecture
"Human-Factors in the Age of Algorithms",,"Las Vegas, USA",7/1/2018,Human-Computer Interaction International,,talk
"Believability of Fake News",,"Florence, Italy", 7/1/2018,Triennial Congress of the international ergonomics association (IEA),,talk
"Acceptance of a paper-based digital diabetes diary",,"Madeira, Portugal", 3/1/2018), ICT4AgeingWell Conference,,talk
"E-Coaching for the elderly – Recommender Systems in Health (invited panel talk)",,"Madeira, Portugal", 3/1/2018, ICT4AgeingWell Conference,,lecture
"Measuring Insight Into Multi-Dimensional Data from a Combination of a Scatterplot Matrix and a Hyperslice Visualization",,"Vancouver, Canada", 7/1/2017, Human-Computer Interaction International 2017,,talk
"Industrie 4.0 and an Aging Workforce – A Discussion from a Psychological and a Managerial Perspective",,"Vancouver, Canada", 7/1/2017, Human-Computer Interaction International 2017,,talk
"HCI for Recommender Systems, the Past, the Present and the Future",,"MIT, Boston, USA", 10/1/2016, ACM RecSys 2016,,talk
"Human Factors in Information Visualization and Decision Support Systems",,"RWTH Aachen University, Germany", 9/1/2016, Mensch und Computer 2016,,talk
"Visualizing Opportunities of Collaboration in Large Research Organizations",,"Toronto, Kanada", 7/1/2016, Human-Computer Interaction International 2016,,talk
"Using Liferay as an Interdisiplinary Scientific Collaboration Portal",,"Toronto, Kanada", 7/1/2016, Human-Computer Interaction International 2016,,talk
"Strategic Knowledge Management for Interdisciplinary Teams. Overcoming Barriers of Interdisciplinary Work via an Online Portal Approach",,"Toronto, Kanada", 7/1/2016, Human-Computer Interaction International 2016,,talk
"Connecting Data with Humans",,"KU Leuven, Belgium", 5/24/2016,,,lecture 
"Empirische Kommunikationswissenschaften",,"RWTH Aachen University, Germany", 5/20/2016,"Bundesfachschaftstagung der Kommunikationswissenschaften",,lecture 
"Preparing Production Systems for the Internet of Things",,"Stellenbosch, South Africa", 1/1/2016,	International Conference on Competitive Manufacturing (COMA),,talk
"Reducing Complexity with Simplicity",,"Melbourne, Australia", 8/1/2015,	International Ergonomics Association Triennial Summit,,talk
"What should I read next?",,"Los Angeles, USA", 7/1/2015, Human-Computer Interaction International Conference,,talk
"What do my colleagues know?",,"Los Angeles, USA", 7/1/2015, Human-Computer Interaction International Conference,,talk
"Older users rejection of mobile health apps",,"Los Angeles, USA", 7/1/2015, Human-Computer Interaction International Conference,,talk
"On the visual design of enterprise resource systems",,"Las Vegas, USA", 7/1/2015, Applied Human Factors and Ergonomics 2015,,talk
"Orchestrating collaboration - Visual collaboration suggestions in large research clusters",,"Las Vegas, USA", 7/1/2015, Applied Human Factors and Ergonomics 2015,,talk
"User-centered design of business communities. The influence of user diversity on motivation to use",,"Las Vegas, USA", 7/1/2015, Applied Human Factors and Ergonomics 2015,,talk
"Reasons for using social networks professionally",,"Crete, Greece", 7/1/2014, Human Computer Interaction International 2014,,talk
"Enhancing interdisciplinary collaboration in large research clusters",,"Crete, Greece", 7/1/2014, Human Computer Interaction International 2014,,talk
"Scientific Cooperation Engineering",,"Illmenau, Germany", 10/1/2013,"10th International Conference on Webometrics, Informetrics, and Scientometrics",,talk
"Graph entropy measures in publication network data",,"Regensburg, Germany",9/1/2013, CD-ARES 2013,,talk
"Information disclosure in social networks",,"Maribor, Slovenia", 6/1/2013, SouthChi-Conference 2013,Best presentation award,talk
"Netiquette for the work environment",,"Maribor, Slovenia", 6/1/2013, SouthChi-Conference 2013,,talk
"Social Networking Sites in the work environment",,"Recife, Brazil", 2/1/2012, International Ergonomics Association Triennial Summit,,talk
"Task-Performance in mobile and ambient interfaces for an electronic diabetes assistant",,"London, United Kingdom", 6/1/2010, iSociety 2010,,talk 
"Mental Models of Menu Structures in Diabetes Assistants",,"Vienna, Austria", 7/1/2010, 12th ICCHP-International Conference on Computers helping people with special needs,,talk
"Effects of Aging and Domain Knowledge on Usability in a Diabetes Small Screen Device",,"Linz, Austria", 7/1/2009, USAB 2009,,talk

